,userid,steamid
0,14,STEAM_0:1:159523117
1,230,0
2,234,STEAM_0:1:479745053
3,264,0
4,312,0
5,313,0
6,378,0
7,392,0
8,437,0
9,504,0
10,530,0
11,532,0
12,634,0
13,642,0
14,659,0
15,666,0
16,682,0
17,707,0
18,768,0
19,784,0
20,792,0
21,834,0
22,891,0
23,922,0
24,956,0
25,1016,0
26,1030,0
27,1079,0
28,1276,0
29,1359,0
30,1370,0
31,1375,0
32,1637,0
33,1660,0
34,1677,0
35,1722,0
36,1851,0
37,2030,0
38,2039,0
39,2087,0
40,2227,0
41,2281,0
42,2285,0
43,2407,0
44,2432,0
45,2492,0
46,2561,0
47,2565,0
48,2683,0
49,2699,0
50,2723,0
51,2893,0
52,2926,0
53,2927,0
54,2939,0
55,3016,0
56,3023,0
57,3049,0
58,3053,0
59,3110,0
60,3122,0
61,3155,0
62,3228,0
63,3244,0
64,3347,0
65,3358,0
66,3389,0
67,3478,0
68,3524,0
69,3529,0
70,3536,0
71,3544,0
72,3550,0
73,3557,0
74,3570,0
75,3586,0
76,3648,0
77,3663,0
78,3675,0
79,3680,0
80,3724,0
81,3736,0
82,3775,0
83,3788,0
84,3867,0
85,3940,0
86,3970,0
87,3992,0
88,4056,0
89,4061,0
90,4130,0
91,4212,0
92,4344,0
93,4382,0
94,4405,0
95,4417,0
96,4442,0
97,4479,0
98,4500,0
99,4519,0
100,4556,0
101,4634,0
102,4661,0
103,4691,0
104,4714,0
105,4717,0
106,4719,0
107,4826,0
108,4829,0
109,4851,0
110,4869,0
111,4872,0
112,4887,0
113,4923,0
114,4975,0
115,5005,0
116,5016,0
117,5019,0
118,5145,0
119,5152,0
120,5342,0
121,5382,0
122,5398,0
123,5424,0
124,5500,0
125,5511,0
126,5520,0
127,5559,0
128,5561,0
129,5606,0
130,5677,0
131,5767,0
132,5775,0
133,5839,0
134,5913,0
135,5916,0
136,5945,0
137,5950,0
138,6035,0
139,6094,0
140,6209,0
141,6319,0
142,6410,0
143,6415,0
144,6441,0
145,6442,0
146,6462,0
147,6502,0
148,6538,0
149,6570,0
150,6641,0
151,6650,0
152,6681,0
153,6683,0
154,6724,0
155,6771,0
156,6828,0
157,6861,0
158,7189,0
159,7216,0
160,7313,0
161,7342,0
162,7375,0
163,7404,0
164,7624,0
165,7687,0
166,7734,0
167,7742,0
168,7960,0
169,7978,0
170,8062,0
171,8109,0
172,8176,0
173,8226,0
174,8235,0
175,8266,0
176,8337,0
177,8366,0
178,8429,0
179,8436,0
180,8483,0
181,8520,0
182,8561,0
183,8629,0
